bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_positive_rate
0,0.0,0.1,51695,0.008858834512204254,0.002321307669987426
1,0.1,0.2,3271,0.14581388383830443,0.0024457352491592784
2,0.2,0.30000000000000004,2095,0.24705433343361557,0.003341288782816229
3,0.30000000000000004,0.4,1829,0.34943304158352056,0.002733734281027884
4,0.4,0.5,1691,0.4494221921082716,0.002365464222353637
5,0.5,0.6000000000000001,1681,0.5498331020376216,0.001784651992861392
6,0.6000000000000001,0.7000000000000001,1683,0.6506078259901,0.0041592394533571005
7,0.7000000000000001,0.8,1970,0.7519331967770145,0.003045685279187817
8,0.8,0.9,2955,0.855723513524141,0.0027072758037225042
9,0.9,1.0,118386,0.9922211435674995,0.014190867163347018
